id,name,text,trans
0000000000000,プロデューサー,ただいま戻りました──,我回来了──
4901043280010,はるき,…………,…………
0000000000000,プロデューサー,ん、はるき……いたんだな,嗯，阳希……你在啊
0000000000000,プロデューサー,（機関車みたいに頑張ってたかと思うと\n急にこうだもんなあ……）,（刚才还像火车头一样努力着\n突然就这样了啊……）
0000000000000,プロデューサー,はるきは、本当にがんばりやだな,阳希，你真的很努力呢
0000000000000,プロデューサー,…………よし,…………好吧
4901043280020,はるき,…………\nプ、プロデューサーさん……！,…………\n制、制作人……！
0000000000000,プロデューサー,──あれ、起きたのか！？,──咦，醒了吗！？
4901043280030,はるき,起きました……\nというより、実は起きてました……,醒了……\n其实是一直醒着的……
0000000000000,プロデューサー,えっ……ああー\nそうだったのか……ははは……,哎……啊啊——\n原来是这样啊……哈哈哈……
4901043280040,はるき,えへへ……でも、おかげで\nいいこと聞いちゃいました,嘿嘿……不过多亏了这样\n听到了好话呢
4901043280050,はるき,プロデューサーさん、お茶にしませんか？\n実はハロウィンのお菓子持ってて……！,制作人，要不要喝点茶？\n其实我带了万圣节的点心……！
0000000000000,プロデューサー,あ、ありがとう\nでもはるきも疲れてるんだし俺が……！,啊，谢谢\n不过阳希你也累了，我来吧……！
4901043280060,はるき,ふふ～。いいんですよ～\nがんばりやというなら、プロデューサーさんもなので……！,嘿嘿～。没关系的～\n如果说努力的话，制作人也很努力呢……！
info,mypage_communications/490104328.json,,
译者,gpt-4o-2024-05-13,,
