id,name,text,trans
2017017010010,あさひ,──────あ,──────啊
2017017010020,あさひ,カイト──────,回来──────
0000000000000,プロデューサー,………………,………………
0000000000000,off,あさひが日本を離れてもう２年半か,朝日离开日本已经两年半了啊
0000000000000,off,もっと長くいるかと思った\n正直、帰ってこないんじゃないかとも,本以为会待更久呢\n说实话，还以为她不会回来了
0000000000000,off,……行くと言い出した時も突然だったな\nバタバタと慌てて用意して、高校も中退して,……当初说要走的时候也是突然的\n匆匆忙忙地准备，连高中都退学了
0000000000000,off,それで、今日この時刻に日本に帰ると言ってきたのが\nわずか１週間前──────,然后，说要在今天这个时间回到日本\n也只是在一周前──────
0000000000000,プロデューサー,そろそろ、かな,差不多该到了吧
0000000000000,プロデューサー,──────…………,──────…………
0000000000000,プロデューサー,（フライトナンバーも教えてもらってないから\n本当にここでいいのかわからないけど────）,（因为连航班号都没告诉我\n都不知道在这里等是不是对的────）
0000000000000,プロデューサー,（そもそも、お迎えをよろしくと\n言われたわけでもないんだが）,（话说回来，她也没特意说\n要我来接她）
0000000000000,プロデューサー,（でも──────）,（但是──────）
0000000000000,プロデューサー,（できれば一番に迎えたいよな）,（如果可以的话，真想第一个迎接她啊）
0000000000000,プロデューサー,（一行が、降りてきた）,（有一群人走出来了）
0000000000000,プロデューサー,（あさひは────────）,（朝日────────）
0000000000000,プロデューサー,………………あさひ、か？,………………是朝日吗？
2017017010030,あさひ,プロデューサーさん！,制作人先生！
0000000000000,プロデューサー,あさひ……！\n久しぶりだな！,朝日……！\n好久不见了！
2017017010040,あさひ,よくここがわかったね？,你怎么知道在这里等呢？
0000000000000,プロデューサー,はは、目星つけてきたんだ\n行き違いにならなくてよかった,哈哈，我是猜着来的\n幸好没有错过
2017017010050,あさひ,…………プロデューサーさん、変わってない,…………制作人先生，一点都没变呢
0000000000000,プロデューサー,そうか？\nあさひは……だいぶ変わったな,是吗？\n朝日倒是……变了很多啊
0000000000000,プロデューサー,ずいぶん背も伸びたし…………\nあっちにいってさらに伸びたよな？,个子长高了不少…………\n在国外又长高了吧？
0000000000000,プロデューサー,一瞬、別人かと思って声かけていいか迷ったよ,刚才一瞬间还以为认错人了，都不敢贸然打招呼
2017017010060,あさひ,あははっ、ケガして休んだら\n一気にぐーんって伸びちゃって,啊哈哈，因为受伤休养的时候\n一下子就蹭蹭往上长了
2017017010070,あさひ,それより、プロデューサーさん……！,话说回来，制作人先生……！
0000000000000,プロデューサー,────わかった\n日本食がたらふく食べたいんだろう,────我知道\n想吃个够日本料理对吧
2017017010080,あさひ,！\nなんでわかるの？,！\n你怎么知道的？
0000000000000,プロデューサー,海外から返ってきた人の９割はそう言うからな,从国外回来的人十个有九个都这么说啊
2017017010090,あさひ,えー？,诶ー？
0000000000000,プロデューサー,ごちそうするよ、なんでも,我请客，想吃什么都行
0000000000000,プロデューサー,聞きたいこといっぱいあるし……\n決めることだってたくさんあるし────,有很多想问的事……\n也有很多事情要决定────
2017017010100,あさひ,決めること？,要决定的事？
0000000000000,プロデューサー,まずは住むところだな\nずっとウィークリーってわけにもいかないしな,首先是住的地方吧\n总不能一直住周租公寓吧
2017017010110,あさひ,まあ、そうだけど……慌てなくてもいーよ\n……行こ？,虽然是这样……但不用着急啦\n……我们走吧？
0000000000000,プロデューサー,…………そういえば、あさひは\n一人暮らし、できるのか？,…………说起来，朝日\n能独自生活吗？
2017017010120,あさひ,ん？　できると思うけど,嗯？　应该可以吧
0000000000000,プロデューサー,料理とか、掃除とか……\nいろいろ手続きとか……,比如做饭啊，打扫卫生啊……\n各种手续啊……
2017017010130,あさひ,できる,都能做
2017017010140,あさひ,だって、ずっと外国でひとりでやってこれた\nたいていのことはできるよ,因为一直在国外都是一个人过来的嘛\n大多数事情我都能搞定
0000000000000,プロデューサー,────そうか,────是吗
2017017010150,あさひ,あれ？　なんでそんな顔するの,咦？　你为什么露出那种表情
0000000000000,プロデューサー,えっ────\nそんなって…………,诶────\n那种表情…………
2017017010160,あさひ,わたし、変なこと言った？,我说了什么奇怪的话吗？
0000000000000,プロデューサー,あっと──いや、違うんだ\nなんだか…………,啊──不，不是的\n就是觉得…………
0000000000000,プロデューサー,本当に、戦ってきたんだなって\n思ったんだ,你真的，努力奋斗过来了啊\n我是这么想的
0000000000000,プロデューサー,遠い遠い、空の向こうで,在那遥远遥远的天空的另一端
info,produce_events/201701701.json,,
译者,claude-3-5-sonnet-20241022,,
