id,name,text,trans
4001079050010,恋鐘,映画はよかばってん、なしてホラー映画になったと？,电影是不错，但为什么会变成恐怖片？
4001079050020,摩美々,文句があるなら\nプロデューサーに言ってくれるー？,有意见的话\n去跟制作人说吧ー？
4001079050030,結華,とりあえずポップコーンでも買う？\n食べてたら怖さも和らぐかもだし！,要不先买点爆米花？\n吃着的话可能会没那么害怕！
4001079050040,咲耶,それは良いアイディアだ,这是个好主意
4001079050050,恋鐘,うん～\n買う～！,嗯～\n买～！
4001079050060,霧子,ふふ……\nうん……,呵呵……\n嗯……
4001079050070,咲耶,みんな、何味にする？\n塩かキャラメルか────,大家想要什么口味的？\n盐味还是焦糖味────
4001079050080,摩美々,私はキャラメルでー,我要焦糖味ー
4001079050090,恋鐘,……っ！,……！
4001079050100,咲耶,…………,…………
4001079050101,摩美々＆結華,……,……
4001079050110,霧子,…………,…………
4001079050111,一同,……っ！,……！
4001079050120,恋鐘,こ、怖かった～……,好、好可怕～……
4001079050130,恋鐘,咲耶が手繋いでくれとったけん\nなんとか最後まで見られたばってん……,多亏咲耶一直牵着我的手\n才勉强看到最后……
4001079050140,咲耶,私は、隣にいる恋鐘が心配で\n作品どころではなかったな……,我倒是担心旁边的恋钟\n根本没注意到电影……
4001079050150,摩美々,ふふー、そういう意味では\n恋鐘が一番怖かったかもー,呵呵ー，从某种意义上说\n恋钟可能是最可怕的ー
4001079050160,結華,感想としてそれはどうなのー,作为感想这样好吗ー
4001079050170,霧子,あ……\n映画のグッズ……たくさん……,啊……\n电影的周边……好多……
4001079050180,結華,ほんとだ\nキーホルダー？,真的\n钥匙扣？
4001079050190,恋鐘,こんお化け、映画じゃあがん怖かったとに\nこいは可愛かね～,这个鬼在电影里那么可怕\n但这个周边好可爱～
4001079050200,咲耶,ああ,是啊
4001079050210,咲耶,どうかな、みんなでこのキーホルダーを買うというのは\n一緒に映画を見た記念に,大家一起买这个钥匙扣怎么样\n作为一起看电影的纪念
4001079050220,結華,お揃い？\nいいよー,一样的？\n好啊ー
4001079050221,恋鐘＆霧子,うちも～！,我也要～！
4001079050230,摩美々,まぁ、私もー,嗯，我也要ー
4001079050240,咲耶,すみません、これを────,不好意思，这个────
0000000000000,売店の店員,はい……\n５つですね,好的……\n五个是吧
0000000000000,女子生徒,……！,……！
0000000000000,女子生徒,（そういえば…………）,（说起来…………）
0000000000000,女子生徒,（キーホルダー、入れっぱなしだった……）,（钥匙扣，一直放着没动过……）
0000000000000,女子生徒,あの日、私たちは付き合って１年の記念に\n遊園地に行こうと約束していた,那天，我们约好了在交往一周年纪念日\n去游乐园
0000000000000,off,428日目,第428天
0000000000000,男子生徒,『ごめん\n今日行けなくなった』,‘对不起\n今天去不了了’
0000000000000,女子生徒,えっ……,诶……
0000000000000,男子生徒,『試験の点数悪くて親に怒られた\n今日は勉強しろって』,‘考试成绩不好被家长骂了\n今天得学习’
0000000000000,男子生徒,『悪いけどデートはまた今度でもいいかな』────,‘不好意思，约会能改天吗’────
0000000000000,女子生徒,（……そんな……）,（……怎么会……）
0000000000000,女子生徒,…………,…………
0000000000000,off,435日目,第435天
0000000000000,男子生徒,この間は、ほんとごめん……\n今日、ちゃんと埋め合わせするから,之前的事，真的对不起……\n今天一定补偿你
0000000000000,女子生徒,────……,────……
0000000000000,男子生徒,もう、あんなことしないから,再也不会那样了
0000000000000,女子生徒,…………うん──,…………嗯──
0000000000000,女子生徒,仲直りの印に買った\nお揃いのキーホルダー,作为和好的象征买了\n一对的钥匙扣
0000000000000,女子生徒,いつ、外したんだっけ──,什么时候取下来的──
0000000000000,off,456日目,第456天
